opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
aget-wide_freq,,,0.000812140957623456,0.0009023788418038401,0.0009023788418038401,264
ushr-long_freq,,,0.0008104421109840197,0.0009004912344266886,0.0009004912344266886,265
rem-float_freq,,,0.0007925171391820589,0.0008805745990911765,0.0008805745990911765,266
xor-int/lit16_freq,,,0.0007748888067918848,0.0008609875631020943,0.0008609875631020943,267
sput_freq,,,0.0007709659119227628,0.000856628791025292,0.000856628791025292,268
,LineNumberReader_call,,0.0007667294010281087,0.0008519215566978986,0.0008519215566978986,269
or-int_freq,,,0.0007636696122281975,0.000848521791364664,0.000848521791364664,270
invoke-super/range_freq,,,0.0007559826984338975,0.0008399807760376639,0.0008399807760376639,271
,read_call,,0.0007537995931565151,0.000837555103507239,0.000837555103507239,272
array-length_freq,,,0.0007490649745497282,0.0008322944161663646,0.0008322944161663646,273
invoke-interface_freq,,,0.0007445733737692188,0.0008273037486324654,0.0008273037486324654,274
,updateCredentials_call,,0.0007440328852192927,0.0008267032057992142,0.0008267032057992142,275
,,android.permission.READ_PROFILE_perm,0.0007398337873844887,0.0008220375415383209,0.0008220375415383209,276
if-lez_freq,,,0.0007336451265147416,0.0008151612516830463,0.0008151612516830463,277
mul-int/2addr_freq,,,0.0007294715559872578,0.0008105239510969532,0.0008105239510969532,278
int-to-char_freq,,,0.0007203017242528484,0.0008003352491698315,0.0008003352491698315,279
unused_freq,,,0.0007119219391798872,0.0007910243768665414,0.0007910243768665414,280
unused_freq,,,0.0007092544430339307,0.0007880604922599231,0.0007880604922599231,281
,open_call,,0.0007078684656941733,0.0007865205174379704,0.0007865205174379704,282
int-to-float_freq,,,0.0007032953960515721,0.0007814393289461912,0.0007814393289461912,283
,getUriForDownloadedFile_call,,0.00070256319539292,0.0007806257726588001,0.0007806257726588001,284
,getLastKnownLocation_call,,0.000691583592522242,0.0007684262139136022,0.0007684262139136022,285
,aadView_call,,0.0006880994854281995,0.0007645549838091106,0.0007645549838091106,286
,sendStickyBroadcast_call,,0.0006755501712270834,0.0007506113013634261,0.0007506113013634261,287
shr-int_freq,,,0.0006682728018009397,0.0007425253353343775,0.0007425253353343775,288
const-string_freq,,,0.0006596212625265672,0.000732912513918408,0.000732912513918408,289
,getModulus_call,,0.0006561922779463828,0.0007291025310515364,0.0007291025310515364,290
,getAllCellInfo_call,,0.00064245689710441,0.0007138409967826779,0.0007138409967826779,291
rem-long_freq,,,0.0006402095742006696,0.0007113439713340774,0.0007113439713340774,292
mul-double_freq,,,0.0006357994584175993,0.0007064438426862215,0.0007064438426862215,293
,downloadMultimediaMessage_call,,0.0006046079190390977,0.0006717865767101087,0.0006717865767101087,294
,setFocusableInTouchMode_call,,0.0006017756102260973,0.000668639566917886,0.000668639566917886,295
float-to-double_freq,,,0.0005990045390605659,0.0006655605989561844,0.0006655605989561844,296
div-long/2addr_freq,,,0.0005933848333282161,0.0006593164814757957,0.0006593164814757957,297
div-long_freq,,,0.0005927052576744275,0.0006585613974160305,0.0006585613974160305,298
,sendStickyOrderedBroadcastAsUser_call,,0.0005901034472758726,0.0006556704969731919,0.0006556704969731919,299
,getElementsByTagName_call,,0.0005856340715437719,0.0006507045239375243,0.0006507045239375243,300
,printStackTrace_call,,0.0005730867163347859,0.0006367630181497621,0.0006367630181497621,301
mul-int/lit8_freq,,,0.0005707039782616411,0.0006341155314018234,0.0006341155314018234,302
,getRunningAppProcesses_call,,0.0005621092768615308,0.0006245658631794787,0.0006245658631794787,303
,getModulus_call,,0.0005602295401881091,0.0006224772668756767,0.0006224772668756767,304
cmpg-float_freq,,,0.0005532739299751068,0.0006147488110834521,0.0006147488110834521,305
,isRegistered_call,,0.00054049783673345,0.0006005531519260556,0.0006005531519260556,306
,BaseDexClassLoader_call,,0.0005281716520992566,0.0005868573912213962,0.0005868573912213962,307
,readLine_call,,0.0005194419408594832,0.0005771577120660925,0.0005771577120660925,308
,mkdir_call,,0.0005121283314579165,0.0005690314793976851,0.0005690314793976851,309
,getDeclaredMethod_call,,0.0005105884617229128,0.0005673205130254587,0.0005673205130254587,310
double-to-int_freq,,,0.0005028475112900193,0.0005587194569889103,0.0005587194569889103,311
,saveConfiguration_call,,0.0005012653442254609,0.0005569614935838456,0.0005569614935838456,312
rem-int/2addr_freq,,,0.000500020004615087,0.0005555777829056522,0.0005555777829056522,313
,getSimState_call,,0.0004934937597113446,0.0005483263996792719,0.0005483263996792719,314
,mark_call,,0.000488471617620554,0.0005427462418006155,0.0005427462418006155,315
,close_call,,0.00048525070511389626,0.0005391674501265515,0.0005391674501265515,316
,setIntParameter_call,,0.00047290056016326945,0.0005254450668480771,0.0005254450668480771,317
,getBaseStationLatitude_call,,0.00047124847600986267,0.0005236094177887363,0.0005236094177887363,318
,getGroupIdLevel1_call,,0.00047062357932868635,0.0005229150881429849,0.0005229150881429849,319
,setText_call,,0.00046752334252581345,0.0005194703805842372,0.0005194703805842372,320
sub-long/2addr_freq,,,0.00046714595308332003,0.0005190510589814667,0.0005190510589814667,321
,removeView_call,,0.00046403895972819276,0.0005155988441424364,0.0005155988441424364,322
xor-int/2addr_freq,,,0.00046058061106843217,0.0005117562345204802,0.0005117562345204802,323
aput-wide_freq,,,0.00045380786812589764,0.0005042309645843307,0.0005042309645843307,324
,printStackTrace_call,,0.00044612798287048367,0.0004956977587449819,0.0004956977587449819,325
div-float_freq,,,0.0004361598976024696,0.00048462210844718844,0.00048462210844718844,326
,nextText_call,,0.00042855565837179724,0.0004761729537464414,0.0004761729537464414,327
,put_call,,0.00042746416988954786,0.00047496018876616434,0.00047496018876616434,328
,generateKey_call,,0.0004227342389204593,0.00046970470991162145,0.00046970470991162145,329
